Abbey,Edward,American,1927-1989.
Abe Kobo,Japanese,1925- .
Abelard,Pierre and Héloïse,French writing in Latin,1079-1142 and 1101-1164.
Abish,Walter,American,1931- .
Abram,David,American,1957- .
Abrams,M. H.,American,1912- .
Abu Bakr Muhammad bin 'Abdulmalik ibn Tufail,Arab in Islamic Spain,ca. 1105-1185.
Achebe,Chinua,Nigerian writing in English,1930-2013.
Acheson,Dean,American,1893-1971.
Adamic,Louis,American,1899-1951.
Adams,Douglas,English,1952-2001.
Adams,Henry,American,1838-1918.
Adams,Léonie,American,1899-1988.
Addams,Jane,American,1860-1935.
Addison,Joseph and Richard Steele,English and Irish-English,1672-1719 and 1672-1729.
Adi Granth,See Sacred Writings of the Sikhs
Adler,Alfred,Austrian,1870-1937.
Adler,Mortimer J. and Charles Van Doren,American,1902-2001 and 1926- .
Adorno,Theodor,German,1903-1969.
Adunis,Lebanese,1930- .
Aeschylus,Greek,525-456/5 BCE.
Aesop,Greek,620-560 BCE.
Agee,James,American,1909-1955.
Agee,Philip,American,1935- .
Agnon,S. Y.,Israeli,1888-1970. Nobel Laureate
Aiken,Conrad,American,1889-1973.
Akhmatova,Anna,Russian,1888-1966.
Aksakov,Sergey,Russian,1791-1859.
Akutagawa Ryunosuke,Japanese,1892-1927.
Alain-Fournier,French,1886-1914.
Alas,Leopoldo (Clarín),Spanish,1852-1901.
Albee,Edward,American,1928- .
Alberti,Rafael,Spanish,1902-1984.
Alcman,Greek,7th C BCE.
Alcott,Louisa May,American,1832-1888.
Aldiss,Brian,English,1925- .
Aleichem,Sholem,See Sholem Aleichem
Aleixandre,Vicente,Spanish,1898-1984. Nobel Laureate
Alexander,Christopher,American,1936- .
Alexievich,Svetlana,Belarusian,1948- . Nobel Laureate
Works
Alfieri,Vittorio,Italian,1749-1803.
Algren,Nelson,American,1909-1981.
Allison,Dorothy,American,1949- .
Alvarez,Julia,American,1950- .
Amichai,Yehuda,Israeli,1934- .
Amis,Kingsley,English,1922-1995.
Amis,Martin,English,1949- .
Ammons,A. R.,American,1926- .
Ampère,André Marie,French,1775-1836.
Amundsen,Roald,Norwegian,1872-1928.
Anand,Margot,French-American writing in English,1943- .
Anantha Murthy,U. R.,Indian writing in Kannada,1932- .
Anaya,Rudolfo,American,1937- .
Andersen Nexø,Martin,Danish,1869-1954.
Andersen,Hans Christian,Danish,1805-1875.
Anderson,Jack,American,1922-2005.
Anderson,Sherwood,American,1876-1941.
Andrade,Eugénio de,Portuguese,1923- .
Andreyev,Leonid,Russian,1871-1919.
Andric,Ivo,Bosnian,1892-1975. Nobel Laureate
Angelou,Maya,American,1928-2014.
Anger,Kenneth,American,1930- .
Various Authors,English,890-1154.
Angulo,Jaime de,American,1887-1950.
Anouilh,Jean,French,1910-1987.
Anselm,St.,Italian-English writing in Latin,1033-1109.
Ansky,S.,Russian writing in Yiddish,1863-1920.
Various Authors,Chinese,8th C BCE-20th C.
Various Authors writing in Arabic,Persian,Turkish,etc.,Arabic,Persian,Turkish,etc.,7th-18th C.
Various Authors,Japanese,8th-19th C.
Various Authors,Korean,1st Millennium-20th C.
Various Authors,Sri Lankan,6th-19th C.
Anwar,Chairil,Indonesian,1922-1949.
Anzaldua,Gloria,American,1942-2004.
Various Authors,Jews writing in Hebrew and Aramaic,2nd C BCE-1st C CE.
Apollinaire,Guillaume,French,1880-1918.
Apollonius of Perga,Greek,fl. 247-205 BCE.
Apollonius Rhodius,Greek,fl. 220 BCE.
Appelfeld,Aharon,Israeli,1932- .
Applewhite,James,American,1935- .
Apuleius,Roman,fl. ca. 155 CE.
Aquinas,St. Thomas,See Thomas Aquinas,St
Arabian Nights,See Thousand and One Nights
Aragon,Louis,French,1897-1982.
Archilochus,Greek,7th C BCE.
Archimedes,Greek,ca. 287-212 BCE.
Arden,John,English,1930- .
Arenas,Reinaldo,Cuban,1943-1990.
Arendt,Hannah,American,1906-1975.
Ariès,Philippe,French,1914-1984.
Ariosto,Ludovico,Italian,1474-1533.
Aristophanes,Greek,448-388 BCE.
Aristotle,Greek,384-322 BCE.
Armah,Ayi K.,Ghanaian writing in English,1939- .
Arnold,Matthew,English,1822-1888.
Aron,Raymond,French,1905-1983.
Arora,David,American,fl. 1979.
Arreola,Juan Jose,Mexican,1918-2001.
Arrian,Greek,ca. 100-180 CE.
Arrow,Kenneth,American,1921- .
Artaud,Antonin,French,1896-1948.
Asch,Sholem,Polish-American writing in Yiddish,1880-1957.
Ashbery,John,American,1927- .
Ashton-Warner,Sylvia,New Zealander,1908-1984.
Ashvaghosha,Indian writing in Sanskrit,1st-2nd C CE.
Asimov,Isaac,American,1920-1992.
Asturias,Miguel Angel,Guatemalan,1899-1974. Nobel Laureate
Athanasius,St.,Byzantine Greek,ca. 297-373.
Atkinson,Kate,English,1951- .
Atwood,Margaret,Canadian,1939- .
Aubigné,Agrippa d',French,1552-1630.
Aubrey,John,English,1626-1697.
Auden,W. H.,English,1907-1973.
Auerbach,Erich,German,1892-1957.
Augustine,St.,North African writing in Latin,354-430.
Austen,Jane,English,1775-1817.
Auster,Paul,American,1947- .
Averroes (Ibn Rushd),Arab in Islamic Spain,1126-1198.
Avogadro,Amadeo,Italian,1776-1856.
Anonymous,Indian (extant only in Chinese translation),5th-6th C.
Ayensu,Edward S. and Robert A. DeFilipps,Ghanaian-American and American,1935- and 1939-.
Aztecs,Aztecs (Mexico),12th-15th C.
Azuela,Mariano,Mexican,1873-1952.
Babbitt,Irving,American,1865-1933.
Babel,Isaac Emmanuelovich,Russian,1894-ca. 1940 .
Bach,George R. and Herb Goldberg,American,1914-1986 and 1937-.
Bach,Richard,American,1936- .
Bachelard,Gaston,French,1884-1962.
Bachmann,Ingeborg,Austrian,1926-1973.
Bacon,Francis,English,1561-1626.
Badi' al-Zaman al-Hamadhani,Persian writing in Arabic,969-1008.
Bai Juyi (Po Chü-i),Chinese,772-846.
Baker,Nicholson,American,1957- .
Baldwin,James,American,1924-1987.
Ball,Edward,American,1959- .
Ballard,J. G.,English,1930-2009.
Balzac,Honoré de,French,1799-1850.
Banerji,Bibhutibhusan,Indian writing in Bengali,1894-1950.
Banfield,Edward C.,American,1916-1999.
Banham,Reyner,English,1922-1988.
Baraka,Amiri,See Jones,Leroi
Barnes,Harry Elmer,American,1889-1968.
Baroja,Pio,Basque Spanish,1872-1956.
Barrie,J. M.,Scottish,1860-1937.
Barth,John,American,1930- .
Barth,Karl,Swiss writing in German,1886-1968.
Barthélemy St.-Hilaire,Jules,French,1805-1895.
Barthelme,Donald,American,1931-1989.
Barthes,Roland,French,1915-1980.
Basho,Matsuo,Japanese,1644-1694.
Bassani,Giorgio,Italian,1916-2000.
Bataille,Georges,French,1897-1962.
Batatu,Hanna,Palestinian writing in English,1926-2000.
Bate,W. Jackson,American,1918-1999.
Bates,Henry Walter,English,1825-1892.
Baudelaire,Charles,French,1821-1867.
Baum,L. Frank,American,1856-1919.
Bayatli,Yahya Kemal,Turkish,1884-1958.
Bazin,Andre,French,1918-1958.
Beaumarchais,Pierre-Augustin Caron de,French,1732-1799.
Beaumont,Francis,and John Fletcher,English,1584-1616 and 1579-1625.
Beauvoir,Simone de,French,1908-1986.
Beck,Charlotte Joko,American,1917- .
Beck,Simone,French,1904-1991.
Beckett,Samuel,Irish writing in French and English,1906-1989. Nobel Laureate
Bécquer,Gustavo Adolpho,Spanish,1836-1870.
