Rank,Count,Score,Text,Author-last,Author-first,
,1,,Text,Author-last,Author-first,Date,
,2,,New Oxford Annotated Bible with the Apocrypha,,,
,1,,Myths from Mesopotamia,Dalley,Stephanie
,1,,Upanisads,Olivelle,Patrick
,1,,The Bhagavad Gita,Miller,Barbara Stoler
,1,,Love Song of the Dark Lord: Jayadeva's Gotagovinda,Miller,Barbara Stoler
,1,,Tao Te Ching,Lao Tzu
,1,,The Essential Analects,Confucius
,1,,Anthropology: A Continental Perspective,Wulf,Christoph
,1,,Comparing Religions,Kripal,Jeffery J.
,1,,The Norton Book of Classical Literature,Knox,Bernard
,1,,The Iliad,Homer
,1,,The Odyssey,Homer
,1,,The Aneid,Virgil
,1,,Practical Grammar: A Canadian Writer's Resource,Ruvinsky,Maxine
,1,,The Elements of Style,Stunk and White,W. Jr and E.B
,1,,The Basic Works of Aristotle,Aristotle
,1,,Confessions,Augustine
,1,,Consolation of Philosophy,Boethius
,1,,The Divine Comedy,Dante
,1,,Complete Works,Plato
,1,,Ennead V,Plotinus
,1,,Selected Writings,Thomas Aquinas
,1,,The Complete Dead Sea Scrolls in English
,1,,The Talmud: A Selection
,1,,History of the Church,Eusebius
,1,,The Koran Interpreted
,1,,Islamic Mystical Poetry:Sufi Verse from the Early Mystics to Rumi
,1,,Letters,Petrarch
,1,,The Canzoniere,Petrarch
,1,,Defense of Poetry,Sidney,Philip
,1,,The Prince,Machiavelli
,1,,The Education of a Christian Prince,Erasmus
,1,,Freedom of a Christian,Luther,Martin
,1,,Psalms,Herbert,Mary Sidney
,1,,A Reformation Debate,Karlstadt
,1,,Julius Caesar,Shakespeare
,1,,A Discourse of Trade,Barbon,Nicholas
,1,,Wealth of Nations,Smith,Adam
,1,,On the Rise and Progress of the Arts and Sciences & Of Refinement in the Arts,Hume,David
,1,,The Tatler and The Spectator,Addison and Steele
,1,,The Autobiography,Franklin,Benjamin
,1,,Robinson Crusoe,Defoe,Daniel
,1,,Rameau's Nephew,Diderot,Denis
,1,,Politics and the Arts: Letter to M. D'Alembert on the Theatre,Rousseau, Jean-Jacques
,1,,The Sorrows of Young Werther,Goethe
,1,,American Declaration of Independence & Federalist Papers
,1,,Frankenstein,Shelly,Mary
,1,,The Decameron,Boccaccio,Giovanni
,1,,The Cistercian Morte Darthur,Malory,Thomas
,1,,Orlando Furioso,Ariosto,Ludovico
,1,,Huon de Bordeaux
,1,,Gargantua and Pantagruel,Rabelais,Francois
,1,,The Complete Essays,Montaigne, Michel de
,1,,The Liberation of Jerusalem,Tasso,Torquato
,1,,Don Quixote,Cervantes,Miguel
,1,,Three Major Plays (Fuente Ovejuna & The Knight from Olmedo & Punishment without Revenge),de Vega,Lope
,1,,Don Juan and Other Plays,Moliere
,1,,Paradise Lost,Milton,John
,1,,Britannicus Phaedra and Athaliah,Racine,Jean
,1,,Candide and Other Stories,Voltaire
,1,,Jacques the Fatalist,Diderot,Denis
,1,,Music in the Western World,Weiss,Piero
,1,,Listening to Music,Wright,Craig
,1,,The Symposium,Plato
,1,,The Leviathan,Hobbes,Thomas
,1,,Basic Political Writings,Rousseau Jean-Jacques
,2,,Reflections on the Revolution in France,Burke,Edmund
,1,,Foundation of the Metaphysics of Morals,Kant,Immanuel
,1,,Letters on the Aesthetic Eduction of Man,Schiller,Friedrich
,1,,Introduction to the Philosophy of History,Hegel,Georg Wilhelm Friedrich
,1,,Phenomenology of Spirit,Hegel,Georg Wilhelm Friedrich
,1,,Beyond Good and Evil,Nietzsche,Friedrich
,1,,On the Advantages and Disadvantages of History for Life,Nietzsche,Friedrich
,1,,Selected Writings,Marx,Karl
,1,,An Introduction to Metaphysics,Heidegger,Martin
,1,,Basic Writings,Heidegger,Martin
,1,,The Human Condition,Arendy,Hannah
,1,,The Anarchical Society,Bull,Hedley
,1,,Discipline & Punish,Foucault,Michel
,1,,Hind Swaraj and Other Writings,Gandhi M.K.
,1,,Midnight's Children: a Novel,Rushdie,Salman
,1,,Orientalism,Said,Edward
,1,,Modern Social Imaginaries,Taylor,Charles
,1,,Manifesto of the Communist Party,Marx,Karl
,1,,Second Treatise of Government,Locke,John
,1,,Lament for a Nation,Grant,George
,1,,

