Rank,Reverse Order,Count,Text,Author-last,Author-first,Gender,Nationality,Coordinates,Date
1,25,42,The Love Song of J. Alfred Prufrock,Eliot,T. S. (Thomas Stearns),M,United Kingdom,"55.378051,-3.435973",1888-01-01
2,24,39,Criminal Law,Roach,Kent,M,Canada,"56.130366,-106.346771",1961-01-01
3,23,36,The Yellow Wallpaper,Gilman,Charlotte Perkins,F,United States,"37.09024,-95.712891",1860-01-01
4,22,36,Power,Foucault,Michel,M,France,"46.227638,2.213749",1926-01-01
5,21,33,Canadian Criminal Justice,Griffiths,Curt T. (Curt Taylor),M,Canada,"56.130366,-106.346771",1948-01-01
6,20,33,Constitutional Law of Canada,Hogg,Peter W.,M,New Zealand,"-40.900557,174.885971",1939-01-01
7,19,32,Heart of Darkness,Conrad,Joseph,M,United Kingdom,"55.378051,-3.435973",1857-01-01
8,18,31,Mrs. Dalloway,Woolf,Virginia,F,United Kingdom,"55.378051,-3.435973",1882-01-01
9,17,30,Frankenstein,Shelley,Mary Wollstonecraft,F,United Kingdom,"55.378051,-3.435973",1797-01-01
10,16,27,Waiting for Godot,Beckett,Samuel,M,Ireland,"53.412910,-8.243890",1906-01-01
11,15,27,Discipline and Punish : The Birth of the Prison,Foucault,Michel,M,France,"46.227638,2.213749",1926-01-01
12,14,27,The Metamorphosis,Kafka,Franz,M,Czech Republic,"49.817492,15.472962",1883-01-01
13,13,27,Legal Research : Step by Step,Kerr,Margaret Helen,F,Canada,"56.130366,-106.346771",1954-01-01
14,12,25,September 11 : Consequences for Canada,Roach,Kent,M,Canada,"56.130366,-106.346771",1961-01-01
15,11,25,My Last Duchess,Browning,Robert,M,United Kingdom,"55.378051,-3.435973",1812-01-01
16,10,25,Law and Society,Vago,Steven,M,Hungary,"47.162494,19.503304",1937-01-01
17,9,24,The Lesser Evil : Political Ethics in an Age of Terror,Ignatieff,Michael,M,Canada,"56.130366,-106.346771",1947-01-01
18,8,24,Weapons of Mass Persuasion : Marketing the War Against Iraq,Rutherford,Paul,M,Canada,"56.130366,-106.346771",1944-01-01
19,7,23,Political Trials and the Canadian Political Tradition,McNaught,Kenneth,M,Canada,"56.130366,-106.346771",
20,6,22,Paradise Lost,Milton,John,M,United Kingdom,"55.378051,-3.435973",1608-01-01
21,5,22,Orientalism,Said,Edward W.,M,Palestine,"31.952162,35.233154",1935-01-01
22,4,22,The North West Mounted Police 1873-1919,Macleod,R. C.,,Canada,"56.130366,-106.346771",1940-01-01
23,3,21,Global Business Today,Hill,Charles W. L.,M,United States,"37.09024,-95.712891",
24,2,20,The Craft of Research,Booth,Wayne C.,M,United States,"37.09024,-95.712891",1921-01-01
25,1,20,Dracula,Stoker,Bram,,Ireland,"53.412910,-8.243890",1847-01-01
