New Rank,Old Rank,Count,Text,Author-last,Author-first,Gender,Nationality,Coordinates,Date
1,9,4682,Oedipus,Sophocles,,M,Greece,"39.074208,21.824312",-496-01-01
2,6,4211,Nicomachean Ethics,Aristotle,,M,Greece,"39.074208,21.824312",-384-01-01
3,2,4145,Republic,Plato,,M,Greece,"39.074208,21.824312",-428-01-01
4,1,3934,The Elements of Style,Strunk,William,M,United States,"37.09024,-95.712891",1869-01-01
5,13,3912,A Manual for Writers of Term Papers Theses and Dissertations,Turabian,Kate L.,F,United States,"37.09024,-95.712891",1893-01-01
6,3,3856,The Communist Manifesto,Marx,Karl,M,Germany,"51.165691,10.451526",1818-01-01
7,25,3559,Apology,Plato,,M,Greece,"39.074208,21.824312",-428-01-01
8,4,3057,Biology,Campbell,Neil A.,M,United States,"37.09024,-95.712891",1946-01-01
9,32,2912,Democracy in America,Tocqueville,Alexis De,M,France,"46.227638,2.213749",1805-01-01
10,14,2732,The Iliad,Homer,,M,Greece,"39.074208,21.824312",-800-01-01
11,5,2710,Frankenstein,Shelley,Mary Wollstonecraft,F,United Kingdom,"55.378051,-3.435973",1797-01-01
12,11,2702,The Odyssey,Homer,,M,Greece,"39.074208,21.824312",-800-01-01
13,7,2671,Leviathan,Hobbes,Thomas,M,United Kingdom,"55.378051,-3.435973",1588-01-01
14,21,2658,Paradise Lost,Milton,John,M,United Kingdom,"55.378051,-3.435973",1608-01-01
15,8,2652,The Prince,Machiavelli,Niccolo,M,Italy,"41.87194,12.567380",1469-01-01
16,16,2520,Canterbury Tales,Chaucer,Geoffrey,M,United Kingdom,"55.378051,-3.435973",1342-01-01
17,97,2459,Adventures of Huckleberry Finn,Twain,Mark,M,United States,"37.09024,-95.712891",1835-01-01
18,10,2395,Hamlet,Shakespeare,William,M,United Kingdom,"55.378051,-3.435973",1564-01-01
19,12,2302,Orientalism,Said,Edward W.,M,Palestine,"31.952162,35.233154",1935-01-01
20,23,2301,The Clash of Civilizations,Huntington,Samuel P.,M,United States,"37.09024,-95.712891",1927-01-01
21,27,2269,On the Origin of Species,Darwin,Charles,M,United Kingdom,"55.378051,-3.435973",1809-01-01
22,73,2257,Human Anatomy & Physiology,Marieb,Elaine Nicpon,F,United States,"37.09024,-95.712891",1936-01-01
23,15,2147,Heart of Darkness,Conrad,Joseph,M,United Kingdom,"55.378051,-3.435973",1857-01-01
24,78,2083,Fundamentals of Physics,Halliday,David,M,United States,"37.09024,-95.712891",1916-01-01
25,155,2038,A Vindication of the Rights of Woman,Wollstonecraft,Mary,F,United Kingdom,"55.378051,-3.435973",1759-01-01
26,17,2021,Antigone,Sophocles,,M,Greece,"39.074208,21.824312",-496-01-01
27,29,2003,The Politics,Aristotle,,M,Greece,"39.074208,21.824312",-384-01-01
28,18,1985,Letter From the Birmingham Jail,King,Martin Luther,M,United States,"37.09024,-95.712891",1929-01-01
29,19,1969,On Liberty,Mill,John Stuart,M,United Kingdom,"55.378051,-3.435973",1806-01-01
30,20,1958,The Structure of Scientific Revolutions,Kuhn,Thomas S.,M,United States,"37.09024,-95.712891",1922-01-01
31,58,1947,History of the Peloponnesian War,Thucydides,,M,Greece,"39.074208,21.824312",-465-01-01
32,68,1946,Meditations on First Philosophy,Descartes,Rene,M,France,"46.227638,2.213749",1596-01-01
33,22,1885,Utilitarianism,Mill,John Stuart,M,United Kingdom,"55.378051,-3.435973",1806-01-01
34,37,1875,An Inquiry Into the Nature and Causes of the Wealth of Nations,Smith,Adam,M,United Kingdom,"55.378051,-3.435973",1723-01-01
35,104,1840,Principles of Macroeconomics,Mankiw,N. Gregory,M,United States,"37.09024,-95.712891",1958-01-01
36,24,1834,Things Fall Apart,Achebe,Chinua,M,Nigeria,"9.081999,8.675277",1930-01-01
