New Rank,Reverse Order,Count,Text,Author-last,Author-first,Gender,Nationality,Coordinates,Date
1,25,4682,Oedipus,Sophocles,,M,Greece,"39.074208,21.824312",-498
2,24,4211,Nicomachean Ethics,Aristotle,,M,Greece,"39.074208,21.824312",-386
3,23,4145,Republic,Plato,,M,Greece,"39.074208,21.824312",-430
4,22,3934,The Elements of Style,Strunk,William,M,United States,"37.09024,-95.712891",1869-01-01
5,21,3912,A Manual for Writers of Term Papers Theses and Dissertations,Turabian,Kate L.,F,United States,"37.09024,-95.712891",1893-01-01
6,20,3856,The Communist Manifesto,Marx,Karl,M,Germany,"51.165691,10.451526",1818-01-01
7,19,3559,Apology,Plato,,M,Greece,"39.074208,21.824312",-430
8,18,3057,Biology,Campbell,Neil A.,M,United States,"37.09024,-95.712891",1946-01-01
9,17,2732,The Iliad,Homer,,M,Greece,"39.074208,21.824312",-802
10,16,2710,Frankenstein,Shelley,Mary Wollstonecraft,F,United Kingdom,"55.378051,-3.435973",1797-01-01
11,15,2702,The Odyssey,Homer,,M,Greece,"39.074208,21.824312",-802
12,14,2671,Leviathan,Hobbes,Thomas,M,United Kingdom,"55.378051,-3.435973",1588-01-01
13,13,2658,Paradise Lost,Milton,John,M,United Kingdom,"55.378051,-3.435973",1608-01-01
14,12,2652,The Prince,Machiavelli,Niccolo,M,Italy,"41.87194,12.567380",1469-01-01
15,11,2520,Canterbury Tales,Chaucer,Geoffrey,M,United Kingdom,"55.378051,-3.435973",1342-01-01
16,10,2459,Adventures of Huckleberry Finn,Twain,Mark,M,United States,"37.09024,-95.712891",1835-01-01
17,9,2395,Hamlet,Shakespeare,William,M,United Kingdom,"55.378051,-3.435973",1564-01-01
18,8,2302,Orientalism,Said,Edward W.,M,Palestine,"31.952162,35.233154",1935-01-01
19,7,2301,The Clash of Civilizations,Huntington,Samuel P.,M,United States,"37.09024,-95.712891",1927-01-01
20,6,2269,On the Origin of Species,Darwin,Charles,M,United Kingdom,"55.378051,-3.435973",1809-01-01
21,5,2257,Human Anatomy & Physiology,Marieb,Elaine Nicpon,F,United States,"37.09024,-95.712891",1936-01-01
22,4,2147,Heart of Darkness,Conrad,Joseph,M,United Kingdom,"55.378051,-3.435973",1857-01-01
23,3,2083,Fundamentals of Physics,Halliday,David,M,United States,"37.09024,-95.712891",1916-01-01
24,2,2038,A Vindication of the Rights of Woman,Wollstonecraft,Mary,F,United Kingdom,"55.378051,-3.435973",1759-01-01
25,1,2021,Antigone,Sophocles,,M,Greece,"39.074208,21.824312",-498
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
