Rank,Count,Score,Text,Author-last,Author-first,Date
1,3934,100,The Elements of Style,Strunk,William,1869-1946
2,3573,99.9,Republic,Plato,,
3,3189,99.7,The Communist Manifesto,Marx,Karl,1818-1883
4,3057,99.6,Biology,Campbell,Neil A.,1946
5,2710,99.5,Frankenstein,Shelley,Mary Wollstonecraft,1797-1851
6,2709,99.4,Ethics,Aristotle,,
7,2671,99.2,Leviathan,Hobbes,Thomas,1588-1679
8,2652,99.1,The Prince,Machiavelli,Niccolò,1469-1527
9,2572,99,Oedipus,Sophocles,,
10,2395,98.9,Hamlet,Shakespeare,William,1564-1616
11,2364,98.7,The Odyssey,Homer,,
12,2302,98.6,Orientalism,Said,Edward W.,
13,2239,98.5,A Manual for Writers of Term Papers Theses and Dissertations,Turabian,Kate L.,
14,2180,98.3,The Iliad,Homer,,
15,2147,98.2,Heart of Darkness,Conrad,Joseph,1857-1924
16,2023,98.1,Canterbury Tales,Chaucer,Geoffrey,-1400
17,2021,98,Antigone,Sophocles,,
18,1985,97.8,Letter From the Birmingham Jail,King,Martin Luther,1929-1968
19,1969,97.7,On Liberty,Mill,John Stuart,1806-1873
20,1958,97.6,The Structure of Scientific Revolutions,Kuhn,Thomas S.,
21,1918,97.5,Paradise Lost,Milton,John,1608-1674
22,1885,97.3,Utilitarianism,Mill,John Stuart,1806-1873
23,1884,97.2,The Clash of Civilizations,Huntington,Samuel P.,
24,1834,97.1,Things Fall Apart,Achebe,Chinua,
25,1834,97.1,Apology,Plato,,
26,1774,96.9,Power,Foucault,Michel,1926-1984
27,1701,96.8,Origin of Species,Darwin,Charles,1809-1882
28,1694,96.7,Confessions,Augustine,Saint,
29,1683,96.6,The Politics,Aristotle,,
30,1673,96.4,A Manual for Writers of Dissertations,Turabian,Kate L.,
31,1651,96.3,Walden,Thoreau,Henry David,1817-1862
32,1650,96.2,Democracy in America,Tocqueville,Alexis De,1805-1859
33,1629,96.1,C How to Program,Deitel,Harvey M.,1945
34,1626,95.9,MLA Handbook for Writers of Research Papers,Gibaldi,Joseph,1942
35,1610,95.8,A Pocket Style Manual,Hacker,Diana,1942-2004
36,1589,95.7,The Great Gatsby,Fitzgerald,F. Scott (Francis Scott),1896-1940
37,1587,95.5,Wealth of Nations,Smith,Adam,1723-1790
38,1521,95.4,Dialogues,Plato,,
39,1502,95.3,Nicomachean Ethics,Aristotle,,
40,1476,95.2,The History of Sexuality,Foucault,Michel,1926-1984
41,1474,95,Autobiography,Franklin,Benjamin,1706-1790
42,1464,94.9,The Poetics,Aristotle,,
43,1454,94.8,Beloved,Morrison,Toni,
44,1447,94.6,Capital,Marx,Karl,1818-1883
45,1440,94.5,The Tempest,Shakespeare,William,1564-1616
46,1432,94.4,Methods in Behavioral Research,Cozby,Paul C.,
47,1428,94.3,Huckleberry Finn,Twain,Mark,1835-1910
48,1427,94.1,The Social Contract,Rousseau,Jean-Jacques,1712-1778
49,1384,94,The Bedford Handbook,Hacker,Diana,1942-2004
50,1377,93.9,The Yellow Wallpaper,Gilman,Charlotte Perkins,1860-1935
51,1376,93.8,Utopia,More,Thomas,1478-1535
52,1371,93.6,The Aeneid,Virgil,,
53,1350,93.5,Incidents in the Life of a Slave Girl,Jacobs,Harriet A. (Harriet Ann),1813-1897
54,1293,93.4,The Tragedy of the Commons,Hardin,Garrett James,1915-2003
55,1293,93.4,The Awakening,Chopin,Kate,1850-1904
56,1291,93.2,The Declaration of Independence,Jefferson,Thomas,1743-1826
57,1288,93.1,Candide,Voltaire,1694-1778,
58,1282,93,The Peloponnesian War,Thucydides,,
59,1262,92.9,Democracy in America,De Tocqueville,Alexis,
60,1248,92.7,A Theory of Justice,Rawls,John,1921-2002
61,1229,92.6,Henry V,Shakespeare,William,1564-1616
62,1225,92.5,Oedipus the King,Sophocles,,
63,1224,92.4,Existentialism,Sartre,Jean Paul,1905-1980
64,1210,92.2,Project Evaluation,Due,Jean M.,
65,1207,92.1,Metamorphoses,Ovid,43 B.C.-17 A.D. Or 18 A.D,
66,1202,92,Ways of Seeing,Berger,John,
67,1199,91.8,Invisible Man,Ellison,Ralph,
68,1194,91.7,Meditations on First Philosophy,Descartes,René,1596-1650
69,1182,91.6,The White House,Bush,Barbara,
70,1181,91.5,Pride & Prejudice,Austen,Jane,1775-1817
71,1171,91.3,Their Eyes Were Watching God,Hurston,Zora Neale,
72,1170,91.2,Medea,Euripides,,
73,1167,91.1,Human Anatomy & Physiology,Marieb,Elaine Nicpon,1936
74,1165,91,Crito,Plato,,
75,1162,90.8,Macbeth,Shakespeare,William,1564-1616
76,1152,90.7,Brave New World,Huxley,Aldous,1894-1963
77,1141,90.6,Othello,Shakespeare,William,1564-1616
78,1140,90.4,Physics,Halliday,David,1916
79,1128,90.3,Common Sense,Paine,Thomas,
80,1117,90.2,The Analects,Confucius,,
81,1114,90.1,Physics,Walker,James S.,1950
82,1105,89.9,The Love Song of J. Alfred Prufrock,Eliot,T. S. (Thomas Stearns),1888-1965
83,1102,89.8,The Protestant Ethic and the Spirit of Capitalism,Weber,Max,1864-1920
84,1099,89.7,Calculus Early Transcendentals,Stewart,James,1941
85,1089,89.6,Human Anatomy,Marieb,Elaine Nicpon,1936
86,1081,89.4,Economics,Krugman,Paul R.,
87,1064,89.3,Mrs. Dalloway,Woolf,Virginia,1882-1941
88,1064,89.3,Computer Networks,Tanenbaum,Andrew S.,1944
89,1052,89.2,Discourse on Method,Descartes,René,1596-1650
