
The Elements of Style,Strunk,William,1869-1946
Republic,Plato
The Communist Manifesto,Marx,Karl,1818-1883
Biology,Campbell,Neil A.,1946
Frankenstein,Shelley,Mary Wollstonecraft,1797-1851
Ethics,Aristotle
Leviathan,Hobbes,Thomas,1588-1679
The Prince,Machiavelli,Niccolò,1469-1527
Oedipus,Sophocles
Hamlet,Shakespeare,William,1564-1616
The Odyssey,Homer
OrientalismSaid,Edward W.
A Manual for Writers of Term Papers,Theses,and DissertationsTurabian,Kate L.
The Iliad,Homer
Heart of Darkness,Conrad,Joseph,1857-1924
Canterbury Tales,Chaucer,Geoffrey,-1400
Antigone,Sophocles
Letter From the Birmingham Jail,King,Martin Luther,Jr.,1929-1968
On Liberty,Mill,John Stuart,1806-1873
The Structure of Scientific RevolutionsKuhn,Thomas S.
Paradise Lost,Milton,John,1608-1674
Utilitarianism,Mill,John Stuart,1806-1873
The Clash of CivilizationsHuntington,Samuel P.
Things Fall Apart,Achebe,Chinua
Apology,Plato
Power,Foucault,Michel,1926-1984
Origin of Species,Darwin,Charles,1809-1882
Confessions,Augustine,Saint,Bishop of Hippo
The Politics,Aristotle
A Manual for Writers of DissertationsTurabian,Kate L.
Walden,Thoreau,Henry David,1817-1862
Democracy in America,Tocqueville,Alexis De,1805-1859
C : How to Program,Deitel,Harvey M.,1945
MLA Handbook for Writers of Research Papers,Gibaldi,Joseph,1942
A Pocket Style Manual,Hacker,Diana,1942-2004
The Great Gatsby,Fitzgerald,F. Scott (Francis Scott),1896-1940
Wealth of Nations,Smith,Adam,1723-1790
Dialogues,Plato
Nicomachean Ethics,Aristotle
The History of Sexuality,Foucault,Michel,1926-1984
Autobiography,Franklin,Benjamin,1706-1790
The Poetics,Aristotle
Beloved,Morrison,Toni
Capital,Marx,Karl,1818-1883
The Tempest,Shakespeare,William,1564-1616
Methods in Behavioral ResearchCozby,Paul C.
Huckleberry Finn,Twain,Mark,1835-1910
The Social Contract,Rousseau,Jean-Jacques,1712-1778
The Bedford Handbook,Hacker,Diana,1942-2004
The Yellow Wallpaper,Gilman,Charlotte Perkins,1860-1935
Utopia,More,Thomas,Sir,Saint,1478-1535
The Aeneid,Virgil
Incidents in the Life of a Slave Girl,Jacobs,Harriet A. (Harriet Ann),1813-1897
The Tragedy of the Commons,Hardin,Garrett James,1915-2003
The Awakening,Chopin,Kate,1850-1904
